code,country
gyr,Guarayu
vep,Veps
cpu,Pichis Ashéninka
acu,Achuar-Shiwiar
not,Nomatsiguenga
sme,Northern Sami
yad,Yagua
ura,Urarina
cbu,Candoshi-Shapra
huu,Murui Huitoto
cof,Colorado
boa,Bora
ztu,Güilá Zapotec
piu,Pintupi-Luritja
cbr,Cashibo-Cacataibo
mcf,Matsés
bis,Bislama
orh,Oroqen
ykg,Northern Yukaghir
ese,Ese Ejja
nio,Nganasan
cic,Chickasaw
csa,Chiltepec Chinantec
mcd,Sharanahua
amc,Amahuaca
amr,Amarakaeri
cot,Caquinte
oaa,Orok
ajg,Aja (Benin)
arl,Arabela
ppl,Pipil
bax,Bamun
nku,Bouna Kulango
cbi,Chachi
ccp,Chakma
chr,Cherokee (Cherokee)
chr,Cherokee (Cherokee)
duu,Drung
cfm,Falam Chin
fat,Fanti
ido,Ido
ina,Interlingua (International Auxiliary Language Association)
kkh,Khün
ktu,Kituba (Democratic Republic of Congo)
fkv,Kven Finnish
lat,Latin
glv,Manx
mfq,Moba
mnw,Mon
mxi,Mozarabic
pcm,Nigerian Pidgin
niu,Niuean
kqs,Northern Kissi
sey,Secoya
ekk,Standard Estonian
lvs,Standard Latvian
blt,Tai Dam
kdh,Tem
tdt,Tetun Dili
twi,Twi (Latin)
twi,Twi (Latin)
auc,Waorani
gaz,West Central Oromo
pnb,Western Panjabi
zro,Záparo
